Region;Site;Unit;Batch;Species;Start Fish Density;End Fish Density;Hatchery;Lot Quality;Origin Year;Origin Month;From;To;Start Av. Wt.;End Av.Wt.;Model End Av. Wt. Act. Feed;Av. Wt. Deviation (%);Av. Wt. Before Sampl.;Model End Av. Wt. Sugg. Feed;Actual Feed;Feed Category;Supplier;Period Feed Qty;Suggested Feed Qty;Feed Deviation (%);Opening Fish No;Opening Biomass;Closing Fish No;Closing Biomass;Harvest Biomass;Transfer - (Kg);Transfer + (Kg);Biomass Produced;Biomass Produced Before Sampl.;Econ. FCR Period;Econ FCR Period Before Sampl.;Mortality No;Model Mortality No;Mortality Deviation (%);SFR Period (%);SFR Period (%) Before Sampl.;SGR Period (%);Max Feed Qty;Food Price;Current Grading;Feeding Policy;Group Tag;Vaccinated;Feeder;Feeding Rate (Kg / Hour);Fastings No;Avg. Temp.;Avg. Oxygene;Transfer - (No);Transfer + (No);Harvest (No);Sampling (No);LTD Mortality No;LTD Mortality %;LTD Econ. FCR;Period Day Degrees;Start Av. Weight Category;End Av. Weight Category;Experimental;Final Harvest;Start Av Weight BioCat;End Av Weight BioCat;BATCH.START.DATE;AGE
Aveiro;AQUACRIA;P2B;SS1204L;Sole;;;Stolt Sea Farm;;2012;April;27/5/2014;24/6/2014;319;337;319;5.64;346.19;0;LE-5;ELITE;Skretting;0;0;0;2668;851.092;2659;896.083;0;0;0;44.991;69.42721;0;0;9;0;0;0;0;0.2;120.3;1.602;;Feed Type 2015;;Unchecked;;0;0;0;0;0;0;0;2;201.69;6.279402104;2.437533138;0;300-400;300-400;;YES;300-400;300-400;1/4/2012;803
Aveiro;AQUACRIA;P2B;SS1204L;Sole;;;Stolt Sea Farm;;2012;April;24/6/2014;31/7/2014;337;371;358.14;3.59;364.33;337;LE-5;ELITE;Skretting;87.6;0;0;2659;896.083;2647;982.037;0;0;0;85.954;68.29851;1.019149778;1.282604847;13;0;0;0.25;0.25;0.26;103.8;1.229;;Feed Type 2015;;Unchecked;;0;0;22.97;0;0;0;0;2;213.69;6.65300925;2.34546899;605;300-400;300-400;;YES;300-400;300-400;1/4/2012;839
Aveiro;AQUACRIA;P2B;SS1204L;Sole;;;Stolt Sea Farm;;2012;April;31/7/2014;26/8/2014;371;375;388.44;-3.46;393.9;371;EFICO Sigma 574 4,5mm;EFICO Sigma;Biomar;55.7;0;0;2647;982.037;1694;635.25;0;351.28;0;4.493;36.5096;12.3970621;1.525626137;11;0;0;-20.77;-2.27;0.04;72.7;1.728;;Feed Type 2015;;Unchecked;;0;0;20.34;0;1;0;0;2;145.63;7.050593077;2.42681219;428;300-400;300-400;;YES;300-400;300-400;1/4/2012;865
Aveiro;AQUACRIA;P2B;SS1204L;Sole;;;Stolt Sea Farm;;2012;April;26/8/2014;29/9/2014;375;403;408.34;-1.31;410.45;375;EFICO Sigma 574 4,5mm;EFICO Sigma;Biomar;98.2;0;0;1694;635.25;1681;677.443;0;0;0;42.193;54.71645;2.32740028;1.794707076;13;0;0;0.44;0.44;0.21;59.3;1.728;;Feed Type 2015;;Unchecked;;0;0;20.48;0;0;0;0;2;158.63;7.679980634;2.417236778;716;300-400;400-600;;YES;300-400;400+;1/4/2012;898
Aveiro;AQUACRIA;S33B;SS1204L;Sole;;;Stolt Sea Farm;;2012;April;22/4/2014;26/4/2014;354;337;354;-4.8;357.29;0;LE-5;ELITE;Skretting;0;0;0;570;201.78;569;191.753;0;0;0;-10.027;1.51801;0;0;1;0;0;0;0;-1.23;5;1.653;L ;Feed Type 2015;;Unchecked;;0;0;0;0;0;1;0;1;73.71;14.21052632;1.617076523;0;300-400;300-400;;YES;300-400;300-400;1/4/2012;745
Aveiro;AQUACRIA;S63A;SS1204L;Sole;;;Stolt Sea Farm;;2012;April;18/7/2014;31/7/2014;328.95;354;342.48;3.36;341.62;328.95;GEMMA DIAMOND 1.8;GEMMA DIAMOND;Skretting;164.8;0;0;8142;2678.3109;8110;2870.94;0;0;0;192.6291;92.2273;0.855530135;1.786889565;32;0;0;0.46;0.47;0.56;164.8;0.016;200-400;Feed Type 2015;;Unchecked;;0;0;25.44;0;0;1;0;1;1034.06;11.39419877;1.96274511;294;300-400;300-400;;YES;300-400;300-400;1/4/2012;839
Aveiro;AQUACRIA;S12A;SS1204L;Sole;;;Stolt Sea Farm;;2012;April;21/1/2015;28/1/2015;643.4;675;643.77;4.85;658.74;643.4;GEMMA DIAMOND 1.8;GEMMA DIAMOND;Skretting;0.61;0;0;569;366.0946;549;370.575;13.17;0;0;17.6504;8.72366;0.034560123;0.069924779;0;0;0;0.02;-0.01;0.68;0.4;0;615-815;Feed Type 2015;;Unchecked;;0;0;18.66;0;0;1;1;1;401.98;13.8974648;2.013845014;57;>600;>600;;YES;400+;400+;1/4/2012;1017
Aveiro;AQUACRIA;J01;SS1204L;Sole;;;Stolt Sea Farm;;2012;April;31/7/2014;31/7/2014;479;479;479;0;479;0;;;;0;0;0;170;81.43;170;81.43;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;Feed Type 2015;;Unchecked;;0;0;20.38;0;0;1;0;1;20.46;6.263201396;1.871396396;0;400-600;400-600;;YES;400+;400+;1/4/2012;839
Aveiro;AQUACRIA;P1B;SS1204L;Sole;;;Stolt Sea Farm;;2012;April;19/2/2014;28/2/2014;174.93;183.05;174.93;4.64;180.93;0;LE-5;ELITE;Skretting;0;0;0;2198;384.49614;2182;399.4151;0;0;0;14.91896;10.29312;0;0;16;0;0;0;0;0.5;11.2;1.717;;Feed Type 2015;;Unchecked;;0;0;0;0;0;1;0;1;150.27;5.738496848;3.124134049;0;140-200;140-200;;YES;150-200;150-200;1/4/2012;687
Aveiro;AQUACRIA;P1B;SS1204L;Sole;;;Stolt Sea Farm;;2012;April;27/5/2014;24/6/2014;240;257;240;7.08;263.7;0;LE-5;ELITE;Skretting;0;0;0;2157;517.68;2153;553.321;0;0;0;35.641;50.0661;0;0;5;0;0;0;0;0.24;84.9;1.602;;Feed Type 2015;;Unchecked;;0;0;0;0;0;0;0;2;179.27;6.845946163;3.01924345;0;200-300;200-300;;YES;200-300;200-300;1/4/2012;803
