Region;Site;Unit;Batch;Species;Hatchery;Lot Quality;Origin Year;Origin Month;From;To;Start Av. Wt.;End Av.Wt.;Model End Av. Wt. Act. Feed;Av. Wt. Deviation (%);Av. Wt. Before Sampl.;Model End Av. Wt. Sugg. Feed;Actual Feed;Feed Category;Supplier;Period Feed Qty;Suggested Feed Qty;Feed Deviation (%);Opening Fish No;Opening Biomass;Closing Fish No;Closing Biomass;Harvest Biomass;Given Biomass;Taken Biomass;Biomass Produced;Biomass Produced Before Sampl.;FCR Period;FCR Before Sampl.;Mortality No;Model Mortality No;Mortality Deviation (%);SFR Period (%);SFR Period (%) Before Sampl.;SGR Period (%);Max Feed Qty;Food Price;Grading;Feeding Policy;Group Tag;Vaccinated;Feeder;Feeding Rate (Kg / Hour);Fastings No;Avg. Temp.;Avg. Oxygene;Transfer - (No);Transfer + (No);Harvest (No);Sampling (No);LTD Mortality No;LTD Mortality %;LTD Econ. FCR;Period Thermal Age;Experimental;Final Harvest
Aveiro;AQUACRIA;N23B;SE1210L;Sole;Safiestela;;2014;March;1/8/2014;26/8/2014;146.11;150;161.72;-7.25;161.37;146.11;LE-3;ELITE;Skretting;104.9;0;0;6000;876.66;5976;896.4;0;0;0;19.74;87.69;5.31;1.2;24;0;0;0.47;0.46;0.11;140.2;0.1;120-180;Feed Type 2015;;Unchecked;;0;0;20.34;0;0;1;0;1;348.34;5.51;1.38;407;;
Aveiro;AQUACRIA;N55A;SE1210L;Sole;Safiestela;;2014;March;5/8/2014;26/8/2014;106.74;105;113.12;-7.18;107.38;106.74;LE-3;ELITE;Skretting;102.5;0;0;5933;633.29;16265;1707.83;0;0;1038.35;36.19;74.9;2.83;1.37;193;0;0;13.38;6.61;-0.08;138.3;0.1;70-120;Feed Type 2015;;Unchecked;;0;0;20.29;0;0;4;0;1;1169.01;6.71;1.72;365;;
Aveiro;AQUACRIA;P3B;SS1204L;Sole;Stolt Sea Farm;;2012;April;7/8/2014;26/8/2014;372.52;374;386.69;-3.28;391.21;372.52;EFICO Sigma 574 4,5mm;EFICO Sigma;Biomar;22.4;0;0;943;351.29;941;351.93;0;0;0;0.65;16.84;34.59;1.33;2;0;0;0.34;0.33;0.02;28.2;1.73;;Feed Type 2015;;Unchecked;;0;0;20.24;0;0;1;0;1;80.05;6.98;2.43;324;;YES
Aveiro;AQUACRIA;S52A;SE1210L;Sole;Safiestela;;2014;March;8/8/2014;26/8/2014;96.53;100;107.38;-6.87;105.15;96.53;LE-3;ELITE;Skretting;215.1;0;0;13471;1300.36;20616;2061.6;0;0;671.74;89.51;195.68;2.4;1.1;78;0;0;6.15;3.12;0.2;286.5;0.1;70-120;Feed Type 2015;;Unchecked;;0;0;20.18;0;0;2;0;1;1081.07;4.99;1.77;303;;
Aveiro;AQUACRIA;S62B;SE1210L;Sole;Safiestela;;2014;March;8/8/2014;26/8/2014;143.88;151;153.33;-1.52;151.3;143.88;LE-3;ELITE;Skretting;216.9;0;0;17418;2506.1;23488;3546.69;0;0;877.74;162.85;169.9;1.33;1.28;22;0;0;2.57;2.48;0.27;258.5;0.1;120-180;Feed Type 2015;;Unchecked;;0;0;20.18;0;0;2;0;1;1265.86;5.12;1.17;303;;
Aveiro;AQUACRIA;S53A;SE1210L;Sole;Safiestela;;2014;March;13/8/2014;26/8/2014;202.14;202;206.95;-2.39;207.44;202.14;LE-5;ELITE;Skretting;33;0;0;5872;1186.97;5855;1182.71;0;0;0;-4.26;27.6;-7.75;1.2;18;0;0;0.21;0.21;-0.01;49.7;0.72;180-215;Feed Type 2015;;Unchecked;;0;0;19.74;0;0;1;0;1;424.5;6.07;1.17;179;;
Aveiro;AQUACRIA;S42A;CM1304L;Sole;Cupimar;;2013;April;14/8/2014;26/8/2014;123.11;122;127.29;-4.16;121.99;123.11;LE-5;ELITE;Skretting;31.4;0;0;6084;749;11865;1447.53;0;0;675.95;22.58;22.46;1.39;1.4;82;0;0;7.64;7.68;-0.08;47;0.72;70-155;Feed Type 2015;;Unchecked;;0;0;19.73;0;0;2;0;1;1968.79;15.34;8.2;179;;
Aveiro;AQUACRIA;S54A;CM1304L;Sole;Cupimar;;2013;April;14/8/2014;26/8/2014;246.65;261;252.2;3.49;258.16;246.65;LE-5;ELITE;Skretting;59.1;0;0;6287;1550.69;10824;2825.06;0;0;1178.35;96.02;65.28;0.62;0.91;59;0;0;3.08;4.44;0.47;97.6;0.72;215-315;Feed Type 2015;;Unchecked;;0;0;19.73;0;0;7;0;1;1732.39;12.32;4.4;179;;
Aveiro;AQUACRIA;S44A;SS1204L;Sole;Stolt Sea Farm;;2012;April;19/8/2014;26/8/2014;204.79;213;207.28;2.76;208.63;204.79;LE-5;ELITE;Skretting;24.7;0;0;8501;1740.92;8479;1806.03;0;0;0;65.11;28.05;0.38;0.88;22;0;0;0.2;0.2;0.56;52.2;0.72;215-315;Feed Type 2015;;Unchecked;;0;0;19.93;0;0;1;0;1;1292.75;12.48;3.67;79;;YES
Aveiro;AQUACRIA;S63A;SS1204L;Sole;Stolt Sea Farm;;2012;April;19/8/2014;26/8/2014;361.22;352;362.62;-2.93;352.73;361.22;LE-5;ELITE;Skretting;7.6;0;0;3334;1204.31;3121;1098.59;88.98;0;16.14;-32.87;-30.59;-0.23;-0.25;12;0;0;0.05;0.32;-0.37;11.8;0.72;315-415;Feed Type 2015;;Unchecked;;0;0;19.93;0;0;2;2;1;524.63;12.3;2.08;40;;YES
Aveiro;AQUACRIA;S63B;SS1204L;Sole;Stolt Sea Farm;;2012;April;19/8/2014;26/8/2014;277.04;272;277.85;-2.11;268.54;277.04;LE-5;ELITE;Skretting;2.6;0;0;2460;681.52;2090;568.48;96.58;0;0;-16.46;-23.69;-0.16;-0.11;11;0;0;0.06;0.3;-0.26;5.3;0.72;215-315;Feed Type 2015;;Unchecked;;0;0;19.93;0;0;1;1;1;344.75;12.71;2.5;40;;YES
Aveiro;AQUACRIA;S63C;SS1204L;Sole;Stolt Sea Farm;;2012;April;19/8/2014;26/8/2014;463.79;443;464.45;-4.62;485.35;463.79;LE-5;ELITE;Skretting;2.1;0;0;1484;688.26;1253;555.08;102.88;0;0;-30.31;22.76;-0.07;0.09;3;0;0;0.04;-0.16;-0.66;4.3;0.72;415-615;Feed Type 2015;;Unchecked;;0;0;19.93;0;0;1;4;1;195.9;12.2;1.61;40;;YES
Aveiro;AQUACRIA;S33A;CM1304L;Sole;Cupimar;;2013;April;22/8/2014;26/8/2014;465.17;467;465.87;0.24;467.14;465.17;LE-5;ELITE;Skretting;1.1;0;0;735;341.9;735;343.25;0;0;0;1.35;1.45;0.82;0.76;0;0;0;0.08;0.08;0.1;2.3;0.72;415-615;Feed Type 2015;;Unchecked;;0;0;19.93;0;0;1;0;1;77.4;10.06;1.94;39;;
